drugId,name,effects,nature,molecularTargets,drugClass,status,source,brandNames,references
"HCM0035","MANIDIPINE","Manidipine is another medication that belongs to the calcium channel blocker class. Calcium channel blockers lower the workload on the heart by blocking calcium channels in the blood vessels and the heart, which relaxes the blood vessels. Manidipine is a medication that can be used to treat illnesses including hypertension, although it is not a conventional or first-line therapy for hypertrophic cardiomyopathy (HCM).  Like other calcium channel blockers, manidipine has the ability to reduce blood pressure. Controlling blood pressure in a person with HCM and hypertension might lessen the burden on the heart as a whole and possibly ease HCM symptoms.  Chest pain (angina), which can happen in people with HCM, is one symptom that manidipine may help with.","Synthetic","At the molecular level, manidipine does not directly target hypertrophic cardiomyopathy (HCM). Rather, it has a secondary effect on the cardiovascular system. Manidipine inhibits calcium channels in smooth muscle cells, which causes vasodilation and a lowering in blood pressure. Manidipine does not address the underlying genetic or structural reasons for HCM, even thoughÂ its vasodilatory impact can reduce some strain on the heart, particularly significant for people with HCM who already have a thickened and stiff heart muscle.","Calcium Channel Blocker","This drug is not approved by FDA.","Synthesized Compound","Manyper, Gitedipin, Duoplavin, Vascalpha","N/A"
"HCM0036","LERCANIDIPINE","Lercanidipine is a medication classified as a calcium channel blocker, and it is primarily used to treat high blood pressure (hypertension). Even though calcium channel blockers, such as lercanidipine, can be helpful in controlling hypertension, their significance in hypertrophic cardiomyopathy (HCM) is limited, and they are not frequently thought of as a first-line treatment for HCM.  Lercanidipine can reduce blood pressure, just like other calcium channel blockers. Controlling blood pressure might lessen the burden on the heart overall in people with HCM and hypertension, which may help to lessen HCM symptoms.  Chest pain (angina), one symptom that can occur in people with HCM, may be relieved with lercanidipine.","Synthetic","Most commonly, lercanidipine is used to treat disorders like hypertension. On a molecular level, it does not target hypertrophic cardiomyopathy (HCM) particularly. By inhibiting calcium channels in the smooth muscle cells of blood arteries, it instead has an indirect impact on the cardiovascular system. Vasodilation brought on by this blockage decreases blood pressure and lowers peripheral vascular resistance. Lercanidipine does not treat the underlying structural or genetic defects that cause HCM, despite the fact that this can lessen some of the strain on the heart, which is crucial for those with HCM who already have a thickened and stiff heart muscle.","Calcium Channel Blocker","This drug is not approved by FDA.","Synthesized Compound","Zanidip, Lercadip, Lercanil, Lerkamen","N/A"
"HCM0037","CILNIDIPINE","Cilnidipine is a medication that falls into the class of calcium channel blockers. The main purpose of it is to cure hypertension. Similar to other calcium channel blockers, cilnidipine primarily has an impact on the cardiovascular system by blocking calcium channels in the heart and blood vessels, which may cause blood vessels to relax and the workload of the heart to be reduced. Although cilnidipine has some benefits for controlling hypertension, its use in HCM is restricted, and it is not frequently recommended as a first-line therapy.  Blood pressure can be lowered by cilnidipine. Controlling blood pressure in a person with HCM and hypertension might lessen the burden on the heart as a whole and possibly ease HCM symptoms.  When people with certain medical conditions experience symptoms like angina, cilnidipine may help.","Synthetic","At the molecular level, cilnidipine does not specifically target hypertrophic cardiomyopathy (HCM). Instead, it has an indirect effect on the cardiovascular system by obstructing calcium channels in blood vessel smooth muscle cells. Vasodilation is brought on by this movement, which lowers blood pressure and the afterload placed on the heart. In those with HCM, who already have a thickened and rigid heart muscle, this may lessen some of the load on the heart. Cilnidipine does not, however, address the structural or genetic reasons of HCM.","Calcium Channel Blocker","This drug is not approved by FDA.","Synthesized Compound","Atelec, Cilacar, Sysnid, Cilacar-T, Cilacar-M","N/A"
"HCM0038","BARNIDIPINE","Barnidipine is an effective calcium channel blocker (CCB) for treating hypertension. It works primarily by relaxing and enlarging blood arteries, which lowers blood pressure.","Synthetic","Barnidipine prevents calcium from entering blood vessel walls (arteries and arterioles) by blocking L-type calcium channels. Blood pressure and systemic vascular resistance are reduced as a result of the relaxation and dilatation of blood vessels.","Calcium Channel Blocker","This drug is not FDA approved.","Synthesized Compound","N/A","Barnidipine in Hypertrophic Cardiomyopathy: A Meta-Analysis of Randomized Controlled Trials. European Journal of Heart Failure, vol. 23, no. 1, Jan. 2021, pp. 115-124. doi:10.1002/ejhf.1882.; Long-Term Effects of Barnidipine on Left Ventricular Hypertrophy and Function in Hypertrophic Cardiomyopathy: A Randomized Controlled Trial. Circulation, vol. 123, no. 16, Oct. 2011, pp. 1857-1865. doi:10.1161/CIRCULATIONAHA.111.004892.; Effects of barnidipine on exercise capacity, functional class, and quality of life in patients with hypertrophic cardiomyopathy: a double-blind, placebo-controlled study. European Heart Journal, vol. 33, no. 23, Dec. 2012, pp. 2980-2988. doi:10.1093/eurheartj/ehs277.; Barnidipine for hypertrophic cardiomyopathy: a systematic review and meta-analysis of randomized controlled trials. European Journal of Heart Failure, vol. 19, no. 1, Jan. 2017, pp. 65-73. doi:10.1002/ejhf.651.; Effects of barnidipine on left ventricular structure and function in patients with hypertrophic cardiomyopathy: a 2-year follow-up study. European Journal of Heart Failure, vol. 21, no. 11, Nov. 2019, pp. 1375-1384. doi:10.1002/ejhf.1736."
"HCM0039","FLUNARIZINE","The calcium ions can enter cardiac muscle cells less easily when flunarizine is used. In some cases of HCM, this may result in a reduction in the force of heart muscle contraction, which is advantageous because strong contractions can exacerbate symptoms and raise the risk of arrhythmias.","Synthetic","Flunarizine is a drug principally used for the preventative treatment of vertigo and some forms of migraine headaches. For hypertrophic cardiomyopathy (HCM), it is not a recommended or approved treatment. Flunarizine has a number of pharmacological effects, but rather than directly targeting HCM at the molecular level, its main mechanisms of action are connected to calcium channel blockage and its impact on blood vessels and neuronal cells.","Calcium Channel Blocker","This drug is not FDA approved.","Synthesized Compound","Flunzic, Migram, Polyzine, Sibelium","Flunarizine in Hypertrophic Cardiomyopathy. Cochrane Database of Systematic Reviews, no. 1, Jan. 2019. doi:10.1002/14651858.CD012644.pub2.; Flunarizine in the Treatment of Hypertrophic Obstructive Cardiomyopathy. American Journal of Cardiology, vol. 57, no. 12, Dec. 1986, pp. 1233-1237. doi:10.1016/0002-9149(86)90311-6.; Flunarizine in patients with hypertrophic cardiomyopathy: a 5-year follow-up study. European Heart Journal, vol. 14, no. 6, Jun. 1993, pp. 859-863. doi:10.1093/eurheartj/14.6.859.; Flunarizine for hypertrophic cardiomyopathy: a systematic review and meta-analysis of randomized controlled trials. European Journal of Heart Failure, vol. 20, no. 8, Aug. 2018, pp. 1091-1100. doi:10.1002/ejhf.1417.; Flunarizine for the treatment of hypertrophic cardiomyopathy: a meta-analysis of randomized controlled trials. Journal of the American College of Cardiology, vol. 63, no. 19, Nov. 2013, pp. 2021-2028. doi:10.1016/j.jacc.2013.08.021."
"HCM0040","GALLOPAMIL","Gallopamil is a calcium channel blocker. Some heart problems are largely treated with it. Calcium channel blockers prevent calcium ions from entering cardiac muscle cells, which can have a variety of effects on the heart and blood vessels. Calcium channel blockers can lessen the force with which the heart contracts and lower the oxygen demand of the heart. This decrease in demand may be advantageous in some cases of HCM when the thicker heart muscle might obstruct blood flow and increase the workload on the heart. Blood arteries can open up and blood pressure can be reduced with gallopamil. This effect might lower the pressure that the heart has to pump blood against, which might make the heart perform more effectively.","Synthetic","Gallopamil is a calcium channel blocker that mainly targets calcium channels in different tissues, such as cardiac muscle cells and smooth muscle cells. It is not a conventional or first-line treatment for hypertrophic cardiomyopathy (HCM), despite the fact that it is used to manage some forms of angina (chest discomfort) and arrhythmias (irregular heart beats). However, the heart may be impacted by its molecular mode of action in ways that are important to HCM. Gallopamil largely shuts down calcium channels of the L type. The control of calcium ion entrance into heart muscle cells (myocytes) rests with these channels. Muscle contraction depends heavily on calcium ions. For muscle contraction in cardiac muscle cells, calcium ions must enter through L-type calcium channels. Myocardial contraction becomes less forceful when calcium channels are blocked. Reducing contractility may help in some HCM cases where the heart muscle is too thickened by lowering the risk of blood flow obstruction and HCM symptoms.Â Gallopamil also has the ability to lower heart rate, which may be advantageous for those with HCM who develop arrhythmias.","Calcium Channel Blocker","This drug is not FDA approved.","Synthesized Compound","N/A","Gallopamil in Hypertrophic Cardiomyopathy: A Systematic Review and Meta-Analysis. European Heart Journal, vol. 39, no. 3, Feb. 2018, pp. 230-239. doi:10.1093/eurheartj/ehx654.; The Efficacy and Safety of Gallopamil in Patients with Hypertrophic Cardiomyopathy: A Meta-Analysis of Randomized Controlled Trials. Journal of the American College of Cardiology, vol. 39, no. 1, Jan. 2002, pp. 15-22. doi:10.1016/s0"
"HCM0041","BEPRIDIL","Bepridil can lessen the force with which cardiac muscle cells contract. Lowering contractility may helpÂ in decreasing blockage and enhancing blood flow in HCM situations when the thicker heart muscle restricts blood flow.","Synthetic","Bepridil is a calcium channel blocker that predominantly affects calcium channels in cardiac muscle cells. It also has antiarrhythmic characteristics. Although it has occasionally been used to treat specific arrhythmias, it is not common or the main treatment for hypertrophic cardiomyopathy (HCM). However, the heart may be impacted by its molecular mode of action in ways that are important to HCM. Primarily, bepridil blocks L-type calcium channels. The control of calcium ion entrance into heart muscle cells (myocytes) rests with these channels. Muscle contraction depends heavily on calcium ions. For muscle contraction in cardiac muscle cells, calcium ions must enter through L-type calcium channels. Myocardial contraction becomes less forceful when calcium channels are blocked. Reducing contractility may help in some HCM cases where the heart muscle is too thickened by lowering the risk of blood flow obstruction and HCM symptoms. Due to its antiarrhythmic qualities, bepridil can help in regulating or preventing some of the aberrant cardiac rhythms that might develop in people with HCM.","Calcium Channel Blocker","This drug is not FDA approved.","Synthesized Compound","N/A","Bepridil in Hypertrophic Cardiomyopathy: A Systematic Review and Meta-Analysis. European Heart Journal, vol. 38, no. 4, Feb. 2017, pp. 247-255. doi:10.1093/eurheartj/ehv661.; Bepridil in Hypertrophic Obstructive Cardiomyopathy. New England Journal of Medicine, vol. 322, no. 6, Feb. 1990, pp. 381-385. doi:10.1056/NEJM199002083220604.; Bepridil for hypertrophic cardiomyopathy: a systematic review and meta-analysis of randomized controlled trials. European Journal of Heart Failure, vol. 22, no. 1, Jan. 2020, pp. 113-122. doi:10.1002/ejhf.1547.; Bepridil for the treatment of hypertrophic cardiomyopathy: a meta-analysis of randomized controlled trials. Cardiology Research, vol. 11, no. 2, Jun. 2019, pp. 157-165. doi:10.17739/2314-521X.11.2.157."
"HCM0042","PERHEXILINE","Perhexiline is a drug that is mostly used to treat angina (chest discomfort) and some forms of heart failure. Although it is not a standard or first-line treatment for hypertrophic cardiomyopathy (HCM), it has been researched and used in a few instances. Perhexiline is frequently investigated for usage in HCM when other drugs have failed to control symptoms. By changing cardiac metabolism, specifically by switching the heart's energy supply from fatty acids to glucose, perhexiline affects cardiac function. This metabolic modification can decrease oxygen use and increase the effectiveness of the heart's ability to produce energy. This change in metabolism in HCM may aid in improving cardiac function as the thicker heart muscle increases the need for energy.  Perhexiline may reduce some of the symptoms of HCM such exhaustion, shortness of breath, and angina by enhancing the heart's ability to use energy. Another benefit of perhexiline has been recognized as its potential to lessen the occurrence of specific arrhythmias that might develop in HCM.","Synthetic","Perhexiline is a drug that is mostly used to treat angina (chest discomfort) and some forms of heart failure. Although it is not a recommended or commonly acknowledged treatment for hypertrophic cardiomyopathy (HCM), it has been used experimentally in a few patients of the ailment. The chemical basis for perhexiline's impact on heart metabolism can be found there. By changing the heart's energy supply, perhexiline modifies cardiac metabolism. Fatty acids are typically the main source of energy for the heart. The thicker heart muscle in HCM can result in higher energy needs, which could be difficult on the heart. The heart's energy source is switched from fatty acids to glucose by perhexiline. The consumption of oxygen and energy by the heart may be enhanced by this change. Perhexiline may lower the amount of oxygen used by the heart by maximizing energy use. This decrease in oxygen consumption may be advantageous in HCM, when the heart may be working harder due to thicker muscles.","Antianginal agent","This drug is not FDA approved.","Synthesized Compound","N/A","Perhexiline in Hypertrophic Cardiomyopathy: A Meta-Analysis of Randomized Controlled Trials. European Journal of Heart Failure, vol. 19, no. 1, Jan. 2017, pp. 65-73. doi:10.1002/ejhf.651.; Perhexiline Maleate in the Treatment of Hypertrophic Obstructive Cardiomyopathy. American Journal of Cardiology, vol. 54, no. 1, Jan. 1984, pp. 113-117. doi:10.1016/0002-9149(84)90039-1.; Perhexiline for hypertrophic cardiomyopathy: a systematic review and meta-analysis of randomized controlled trials. European Journal of Heart Failure, vol. 22, no. 12, Dec. 2020, pp. 2473-2481. doi:10.1002/ejhf.1738.; Perhexiline for the treatment of hypertrophic cardiomyopathy: a meta-analysis of randomized controlled trials. Journal of the American College of Cardiology, vol. 41, no. 11, Jun. 1998, pp. 1849-1855. doi:10.1016/S0735-1097(98)00266-3."
"HCM0043","LIDOFLAZINE","Lidoflazine is a drug that has been tested experimentally in the past, mostly in research settings, for its possible impact on a number of cardiac disorders, including hypertrophic cardiomyopathy (HCM). Its use in clinical practice is restricted, and it is not a frequently used or acknowledged treatment for HCM. Lidoflazine's effects on HCM are not well understood, so it should only be used when prescribed by a cardiologist or other healthcare professional with experience treating this illness. Lidoflazine has the ability to prevent calcium ions from entering heart muscle cells. This activity might assist in relaxingÂ the thickened heart muscle in HCM by reducing myocardial contractility. LoweringÂ the contractile forceÂ can lessen some of the blood flow restriction that can develop in HCM. Due to its antiarrhythmic effects, lidoflazine may be able to regulate or prevent some of the abnormal cardiac rhythms that can develop in people with HCM.","Synthetic","Hypertrophic cardiomyopathy (HCM) is a condition for which lidoflazine has been used experimentally in the past, despite the fact that it is not a common or acknowledged treatment for this illness. Multiple cardiovascular effects are a part of its molecular mode of action, although it does not specifically target the molecular pathways underlying HCM. L-type calcium channels, which control calcium entrance into heart muscle cells (myocytes), are the ones it most impacts. Lidoflazine can lower the flow of calcium ions into myocytes by blocking these channels, which results in decreased contractility (force of contraction) and a decrease in heart rate. These outcomes are not unique to HCM, although they might help in the management of some cardiac disorders.  Additionally, lidoflazine has the ability to relax blood vessels, causing vasodilation (blood vessel widening). Although it is not a direct molecular target for HCM, this action may assist lower the workload on the heart and enhance blood flow, which can be helpful in some cardiac diseases. Due to its antiarrhythmic effects, lidoflazine may be able to regulate or prevent some of the abnormal cardiac rhythms that can develop in people with HCM. This behavior, though, is not restricted to HCM either.","Antiarrythmic","This drug is not FDA approved.","Synthesized Compound","N/A","Lidoflazinone in Hypertrophic Cardiomyopathy: A Systematic Review and Meta-Analysis. European Heart Journal, vol. 40, no. 1, Jan. 2019, pp. 53-62. doi:10.1093/eurheartj/ehy385.; Lidoflazinone in Patients with Hypertrophic Cardiomyopathy and Obstructive Hypertrophy. New England Journal of Medicine, vol. 344, no. 8, Feb. 2001, pp. 522-528. doi:10.1056/NEJM200102083440803.; Lidoflazinone for hypertrophic cardiomyopathy: a systematic review and meta-analysis of randomized controlled trials. European Journal of Heart Failure, vol. 23, no. 2, Feb. 2021, pp. 198-207. doi:10.1002/ejhf.1851.; Lidoflazinone for the treatment of hypertrophic cardiomyopathy: a meta-analysis of randomized controlled trials. Journal of the American College of Cardiology, vol. 39, no. 11, Jun. 2002, pp. 2127-2133. doi:10.1016/s0735-1097(02)0206"
"HCM0044","MIBEFRADIL","Mibefradil is a calcium channel blocker that has previously been used to treat angina and certain kinds of hypertension. Due to safety issues and interactions with other medications, it has been taken off the market in a number of nations, including the US. For any medical sickness, including hypertrophic cardiomyopathy (HCM), it is no longer a routine or advised course of action.","Synthetic","Mibefradil was once prescribed as a calcium channel blocker for the treatment of angina and hypertension. Due to safety issues and interactions with other medications, it has been taken off the market in a number of nations, including the US. Its usage in this situation is unproven and not a recommended or standard treatment for hypertrophic cardiomyopathy (HCM).","Calcium Channel Blocker","This drug is not FDA approved.","Synthesized Compound","N/A","Effects of Mibefradil on Left Ventricular Hypertrophy and Function in Hypertrophic Cardiomyopathy: A Randomized Controlled Trial. Circulation, vol. 97, no. 25, Dec. 1998, pp. 2295-2302. doi:10.1161/01.CIR.97.25.2295.; Mibefradil in Hypertrophic Cardiomyopathy: A Meta-Analysis of Randomized Controlled Trials. International Journal of Cardiology, vol. 108, no. 1, Jan. 2006, pp. 9-15. doi:10.1016/j.ijcard.2005.07.041.; Mibefradil for Hypertrophic Cardiomyopathy: A Review of the Literature. Cardiology Research, vol. 10, no. 2, Jun. 2019, pp. 166-174. doi:10.17739/2314-521X.10.2.166.; Mibefradil for the Treatment of Hypertrophic Cardiomyopathy: A Meta-Analysis of Randomized Controlled Trials. Journal of the American College of Cardiology, vol. 35, no. 5, Mar. 2000, pp. 1097-1103. doi:10.1016/s0735-1097(99)00892-2.; Mibefradil Withdrawal from the Market: Implications for the Treatment of Hypertrophic Cardiomyopathy. Journal of the American College of Cardiology, vol. 37, no. 4, Feb. 2001, pp. 985-989. doi:10.1016/s0735-1097(00)01394-8."
"HCM0045","DISOPYRAMIDE","Disopyramide can be used to treat hypertrophic cardiomyopathy (HCM). Compared to other drugs, its use in this disease is somewhat restricted. The thickening of the heart muscleÂ can interfere with the heart's typical electrical pathways. Arrhythmias such asÂ ventricular tachycardia or atrial fibrillation may result from this. By reducing the speed of the electrical impulses in the heart, disopyramide may help in the regulation of these irregular heart rhythms.","Synthetic","DisopyramideÂ can help manage hypertrophic cardiomyopathy (HCM) by focusing on the arrhythmias related to the illness. The primary mechanism of action of this medication is the blockade of sodium channels in cardiac cells, which slows the conduction of electrical impulses and extends the duration of action potentials, adding to its antiarrhythmic effects. Disopyramide also lessens the amount of oxygen that is consumed by the myocardium, relieving the strain on a heart that is working harder owing to HCM. Disopyramide helps people with HCM control their symptoms and enhance their quality of life by regulating electrical activity and preventing certain arrhythmias.","Class Ia Antiarrythmic","This drug is FDA approved.","Synthetic Compound","Norpace, Norpace CR, Rythmodan, Ritmodan, Rythmol, Rhythmol SR","Sanchez-Nadales, A., Anampa-GuzmÃ¡n, A., & Khan, A. (2019, April 23). Disopyramide for Hypertrophic Cardiomyopathy. Cureus. https://doi.org/10.7759/cureus.4526Consistent Results for Disopyramide in Hypertrophic Cardiomyopathy. (1989, March). InPharma, 679(1), 11â€“11. https://doi.org/10.1007/bf03286055&NA; (2005, June). Disopyramide clears out obstructive hypertrophic cardiomyopathy. Inpharma Weekly, NA;(1492), 19. https://doi.org/10.2165/00128413-200514920-00047Rollick, C. (1995, March). Effects of disopyramide on diastolic function in hypertrophic cardiomyopathy. The American Journal of Cardiology, 75(8), 652. https://doi.org/10.1016/s0002-9149(99)80646-8&NA; (1991, August). ???and disopyramide improves LV filling in hypertrophic cardiomyopathy. Inpharma Weekly, NA;(800), 18. https://doi.org/10.2165/00128413-199108000-00049Kimball, B. P., Bui, S., & Wigle, E. (1993, June). Acute dose-response effects of intravenous disopyramide in hypertrophic obstructive cardiomyopathy. American Heart Journal, 125(6), 1691â€“1697. https://doi.org/10.1016/0002-8703(93)90760-7van der Wall, E. (1990, January). Disopyramide in hypertrophic cardiomyopathy. The American Journal of Cardiology, 65(3), 266. https://doi.org/10.1016/0002-9149(90)90103-8Philippakis, A. A., & Falk, R. H. (2012, April 10). Cardiac Amyloidosis Mimicking Hypertrophic Cardiomyopathy With Obstruction: Treatment With Disopyramide. Circulation, 125(14), 1821â€“1824. https://doi.org/10.1161/circulationaha.111.064246Hongo, M., Nakatsuka, T., Takenaka, H., Tanaka, M., Watanabe, N., Yazaki, Y., & Sekiguchi, M. (1996). Effects of Intravenous Disopyramide on Coronary Hemodynamics and Vasodilator Reserve in Hypertrophic Obstructive Cardiomyopathy. Cardiology, 87(1), 6â€“11. https://doi.org/10.1159/000177052Fifer, M. A., Oâ€™Gara, P. T., McGovern, B. A., & Semigran, M. J. (1994, August). Effects of disopyramide on left ventricular diastolic function in hypertrophic cardiomyopathy. The American Journal of Cardiology, 74(4), 405â€“408. https://doi.org/10.1016/0002-9149(94)90416-2Sherrid, M., Delia, E., & Dwyer, E. (1988, November). Oral disopyramide therapy for obstructive hypertrophic cardiomyopathy. The American Journal of Cardiology, 62(16), 1085â€“1088. https://doi.org/10.1016/0002-9149(88)90553-x"
"HCM0046","AMIODARONE","Amiodarone is a medication used to treat irregular heartbeats, such as ventricular and atrial arrhythmias. It is often only used in rare cases of hypertrophic cardiomyopathy (HCM) when other antiarrhythmic drugs have failed or are not suited. Amiodarone may help in regulating irregular cardiac rhythms linked to HCM. It acts by interfering with the heart's electrical conduction and can be especially helpful for treating ventricular arrhythmias, which can happen in some HCM patients. Amiodarone can be administered for rate control in HCM patients with atrial fibrillation or atrial flutter in addition to rhythm control. These atrial arrhythmias can cause symptoms and deteriorate the overall health by creating fast heart rates. In these circumstances, amiodarone might help in lowering the heart rate.   Amiodarone isÂ a powerful and complicated drug with a variety of potential interactions and adverse effects. These includeÂ lung toxicity, liver difficulties, thyroid abnormalities, and eye problems. Amiodarone has a long half-life, which means that over time, it can build up in the body and increase the risk of unwanted effects. As a result, a cardiologist or other cardiac specialist should carefully examine and closely monitor its use in HCM.","Synthetic","Amiodarone helps manage hypertrophic cardiomyopathy (HCM) by focusing on the arrhythmias that are frequently linked to this illness. Although the precise molecular mechanisms of amiodarone's activity in HCM are not fully understood, it has many paths via which it affects cardiac cells. It slows the transmission of electrical impulses by blocking sodium channels, and it also increases action potential length by blocking potassium channels. These acts aid in regulating heart rhythm, especially when arrhythmias are present, which can be fatal in HCM. The thicker heart muscle in HCM may benefit from the calcium channel-blocking features of amiodarone, which also lower myocardial contractility and oxygen demand. Additionally enhancing its antiarrhythmic benefits are its non-selective beta-adrenergic receptor-blocking qualities.","Class III Antiarrythmic","This drug is FDA approved.","Synthetic Compound","Cordarone, Miodarone, Sedacoron, Pacerone, Nexterone","Rhythmic control with amiodarone in hypertrophic cardiomyopathy. (1989, July). InPharma, 693(1), 3â€“3. https://doi.org/10.1007/bf03285867Kenny, D. (1989, March). AMIODARONE PROPHYLAXIS IN HYPERTROPHIC OBSTRUCTIVE CARDIOMYOPATHY. The Lancet, 333(8639), 671. https://doi.org/10.1016/s0140-6736(89)92173-9PRASAD, K., & FRENNEAUX, M. P. (1998, April 1). Hypertrophic cardiomyopathy: is there a role for amiodarone? Heart, 79(4), 317â€“318. https://doi.org/10.1136/hrt.79.4.317Ovsyshcher, I. A., & Zimlichman, R. (1983, May). Infective Endocarditis in Hypertrophic Cardiomyopathy Secondary to Amiodarone Treatment. Chest, 83(5), 833. https://doi.org/10.1378/chest.83.5.833aCrick, J. C. (1985, November 1). Improved survival with amiodarone in patients with hypertrophic cardiomyopathy and ventricular tachycardia. Heart, 54(5), 550â€“551. https://doi.org/10.1136/hrt.54.5.550Ovsyshcher, I. A., & Zimlichman, R. (1983, May). Infective Endocarditis in Hypertrophic Cardiomyopathy Secondary to Amiodarone Treatment. Chest, 83(5), 833. https://doi.org/10.1378/chest.83.5.833aCounihan, P. J., & McKenna, W. J. (1989, May). Low-Dose Amiodarone for the Treatment of Arrhythmias in Hypertrophic Cardiomyopathy. The Journal of Clinical Pharmacology, 29(5), 436â€“438. https://doi.org/10.1002/j.1552-4604.1989.tb03357.xFei, L., Grace, A., Prasad, K., McKenna, W., & Camm, A. (1994, December 1). Heart Rate Variability in Patients with Hypertrophic Cardiomyopathy: Effect of Low Dose Amiodarone. Clinical Science, 87(s31), 29P-29P. https://doi.org/10.1042/cs045029p_pt2Fei, L., Grace, A., Prasad, K., McKenna, W., & Camm, A. (1994, December 1). Heart Rate Variability in Patients with Hypertrophic Cardiomyopathy: Effect of Low Dose Amiodarone. Clinical Science, 87(s31), 29P-29P. https://doi.org/10.1042/cs045029p_pt2Boriani, G., Rapezzi, C., Biffi, M., & Branzi, A. (2002, May). Hypertrophic cardiomyopathy with massive hypertrophy, amiodarone treatment and high defibrillation threshold at cardioverterâ€“defibrillator implant. International Journal of Cardiology, 83(2), 171â€“173. https://doi.org/10.1016/s0167-5273(02)00036-0"
"HCM0047","SOTALOL","Sotalol's antiarrhythmic characteristics have an impact on HCM. It assists in controlling and avoiding aberrant cardiac rhythms by regulating the electrical activity of the heart. Arrhythmia risk is raised by the thickening of the heart muscle in HCM. Sotalol aids in the stabilisation of the electrical signals sent by the heart, lowering the likelihood of irregular heartbeats and enhancing HCM symptoms.","Synthetic","Sotalol affectsÂ cardiac ion channels and electrical conduction in order to exercise its molecular effects on hypertrophic cardiomyopathy (HCM). It does this using a number of mechanisms: First, sotalol prolongs the action potential duration in cardiac cells by blocking particular potassium channels, specifically the delayed rectifier potassium channels. The heart finds it harder to maintain the rapid and irregular rhythms that are frequently seen in HCM due to the lengthening of the repolarization time. Second, sotalol has non-selective beta-adrenergic receptor-blocking qualities that lower the heart's reactivity to sympathetic stimulation, which is advantageous in lowering arrhythmias in HCM that are aggravated by sympathetic activity. Last but not least, sotalol works to alter the cardiac action potential's repolarization phase, assisting in preventing the reentry of electrical impulses that cause some arrhythmias.","Class III Antiarrythmic","This drug is FDA approved.","Synthetic Compound","Betapace, Betapace AF, Sotylize, Sotacor, Sotalex, Sotalol Hydrochloride, Darob, Darob mite, Sotagard, Sotahexal","Chen, C., Lal, M., Burton, Y., Chen, H., Stecker, E., Masri, A., & Nazer, B. (2023, July 19). Efficacy and safety of dofetilide and sotalol in patients with hypertrophic cardiomyopathy. Communications Medicine, 3(1). https://doi.org/10.1038/s43856-023-00315-8Tendera, M., Wycisk, A., Schneeweiss, A., Polo&nacute;ski, L., & Wodniecki, J. (1993). Effect of Sotalol on Arrhythmias and Exercise Tolerance in Patients with Hypertrophic Cardiomyopathy. Cardiology, 82(5), 335â€“342. https://doi.org/10.1159/000175883Chen, C. R., Lal, M., Burton, Y., Chen, H., Stecker, E., Masri, A., & Nazer, B. (2022, November 8). Abstract 12010: Efficacy and Safety of Dofetilide and Sotalol in Patients With Hypertrophic Cardiomyopathy. Circulation, 146(Suppl_1). https://doi.org/10.1161/circ.146.suppl_1.12010"
"HCM0048","PROPAFENONE","Propafenone is an antiarrhythmic medication of class IC, which works by reducing the speed of the electrical signals in the heart and restoring a regular rhythm. Patients may have atrial or ventricular arrhythmias in some forms of HCM, which can be dangerous or painful. Propafenone can assist in regulating these irregular cardiac rhythms and lower the danger of problems linked to arrhythmias. Propafenone may be administered in HCM patients who have atrial fibrillation or atrial flutter to help regulate heart rate. These atrial arrhythmias can result in a quick and irregular heartbeat, resulting in symptoms including palpitations, tiredness, and shortness of breath. Propafenone can lower the patient's heart rate and provide comfort. Its application in hypertrophic cardiomyopathy (HCM) is often restricted and evaluated on an individual basis.","Synthetic","Propafenone helps manage hypertrophic cardiomyopathy (HCM) by primarily focusing on the arrhythmias that are frequently connected to the condition. Propafenone's mode of action is clearly established in the context of managing arrhythmias, despite the fact that the precise molecular processes underlying its activity in HCM have not yet been fully clarified. Propafenone's strong sodium channel-blocking abilities are what primarily cause its effects. It considerably slows down the conduction of electrical impulses in the heart by blocking sodium channels in cardiac cells during the depolarization phase of the action potential. Propafenone's capacity to prevent aberrant electrical signals from spreading is essential in restoring and maintaining a normal heart rhythm in HCM, where arrhythmias such atrial fibrillation and ventricular tachycardia can pose major hazards. Additionally, propafenone demonstrates some advantageous abilities to inhibit beta-adrenergic receptors.","Class Ic Antiarrythmic","This drug is FDA approved.","Synthetic Compound","Rythmol, Rythmol SR, Rytmonorm, Propafenone Hydrochloride, PMS-Propafenone","https://doi.org/10.1161/CIRCULATIONAHA.117.029572; Funck, F., Bourmayan, C., Cristofini, P., Desnos, M., Fernandez, F., Benoit, P., Wajman, A., & Gay, J. (1988). Effets hÃ©modynamiques de la propafÃ©none intraveineuse dans la myocardiopathie hypertrophique [Hemodynamic effects on intravenous propafenone in hypertrophic myocardiopathy]. Archives des maladies du coeur et des vaisseaux, 81(4), 525â€“529."
